node,0
node,1
node,2
node,3
node,4
link,0,1,1Mbps,1109.91ns,wireless,
link,0,2,1Mbps,712.937ns,wireless,
link,0,3,1Mbps,684.438ns,wireless,
link,0,4,1Mbps,748.731ns,wireless,
link,1,0,1Mbps,1109.91ns,wireless,
link,1,2,1Mbps,423.189ns,wireless,
link,1,3,1Mbps,1699.85ns,wireless,
link,1,4,1Mbps,1264.99ns,wireless,
link,2,0,1Mbps,712.937ns,wireless,
link,2,1,1Mbps,423.189ns,wireless,
link,2,3,1Mbps,1352.77ns,wireless,
link,2,4,1Mbps,1058.89ns,wireless,
link,3,0,1Mbps,684.438ns,wireless,
link,3,1,1Mbps,1699.85ns,wireless,
link,3,2,1Mbps,1352.77ns,wireless,
link,3,4,1Mbps,698.726ns,wireless,
link,4,0,1Mbps,748.731ns,wireless,
link,4,1,1Mbps,1264.99ns,wireless,
link,4,2,1Mbps,1058.89ns,wireless,
link,4,3,1Mbps,698.726ns,wireless,

0,notice,OLSR converging
17094,mac-send,2,-1
17094,phy-send,2,-1
17095,phy-recv,2,-1
17095,phy-recv,2,-1
17096,phy-recv,2,-1
17096,phy-recv,2,-1
17959,mac-recv,2,-1
17959,mac-recv,2,-1
17960,mac-recv,2,-1
17960,mac-recv,2,-1
340494,mac-send,1,-1
340494,phy-send,1,-1
340494,phy-recv,1,-1
340495,phy-recv,1,-1
340495,phy-recv,1,-1
340495,phy-recv,1,-1
341358,mac-recv,1,-1
341359,mac-recv,1,-1
341359,mac-recv,1,-1
341359,mac-recv,1,-1
376912,mac-send,3,-1
376912,phy-send,3,-1
376913,phy-recv,3,-1
376913,phy-recv,3,-1
376914,phy-recv,3,-1
376914,phy-recv,3,-1
377777,mac-recv,3,-1
377777,mac-recv,3,-1
377778,mac-recv,3,-1
377778,mac-recv,3,-1
380841,mac-send,4,-1
380841,phy-send,4,-1
380841,phy-recv,4,-1
380841,phy-recv,4,-1
380842,phy-recv,4,-1
380842,phy-recv,4,-1
381705,mac-recv,4,-1
381705,mac-recv,4,-1
